file_name,extraction_time,local_api_time,groq_api_time,total_local_time,total_groq_time,local_api_summary,groq_summary,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1
10030015.pdf,5.41,6.92,3.97,12.33,9.37,"> A highly skilled Engineering Lab Technician with extensive experience in testing, fabrication, and maintenance of hydraulic, electrical, and mechanical systems. Proficient in LabView, DasyLab, and mechanical engineering principles. Adept at operating test equipment and working closely with design engineers and lab management to resolve performance and design issues.

> A dedicated and experienced professional with a strong focus on aerospace engineering. Proven track record in testing various seat structures, maintaining test instruments, and ensuring data is captured and recorded correctly for certification test reports. Skilled in fabricating and maintaining hydraulic/electrical test equipment, and applying engineering principles to test pumps, motors, and actuators for aircraft.

> A highly motivated and results-driven Engineering Lab Technician with a background in hydraulic components and munitions systems. Proficient in leading teams, maintaining high quality standards in a high volume production environment, and working closely with engineering groups and quality assurance inspectors to resolve problems with development actuators.

> A skilled and versatile Engineering Lab Technician with a strong background in munitions systems and a proven ability to lead, train, and supervise teams. Experienced in certifying small arms, actuation devices, bombs, rockets, and other munitions items, and working in high-pressure environments such as Operation Enduring Freedom.

> A dedicated and experienced professional with a focus on electronics engineering. Completed LabView Course 1 training and utilized skills to construct and maintain LabView VI programs. Skilled in fabricating and maintaining hydraulic/electrical test equipment, and applying engineering principles to test pumps, motors, and actuators for aircraft.

> A skilled and versatile Engineering Lab Technician with a strong background in mechanical and electrical systems. Proven ability to lead teams and maintain high quality standards in a high volume production environment. Experienced in hydraulic components that meet military and FAA regulations, and working closely with engineering groups and quality assurance inspectors to resolve problems with development actuators.

> A dedicated and experienced professional with a focus on munitions systems. Skilled in certifying small arms, actuation devices, bombs, rockets, and other munitions items, and supervising work crews of 3-5 men while supporting USAF aircraft during Operation Enduring Freedom. Exper","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**

Highly experienced Engineering Lab Technician with a strong background in the aerospace industry. Proficient in LabView, DasyLab, and mechanical, electrical, and hydraulic testing. Proven ability to work in a fast-paced production environment, lead teams, and troubleshoot complex issues.

**Key Experience:**

* Engineering Lab Technician (2016-Present): Tested seat structures, maintained test instruments, and ensured data accuracy for certification reports.
* Senior Engineering Lab Technician (2012-2016): Designed and maintained LabView programs, fabricated test equipment, and applied engineering principles to operate complex systems.
* Assembly/ Test Technician (2007-2012): Led a team of technicians in a high-volume production environment, ensuring high-quality standards and resolving problems with development actuators.
* Munitions Systems Journeyman (2003-2007): Certified munitions items, supervised work crews, and trained new personnel on transporting, loading, and delivering munitions.

**Key Skills:**

* LabView, DasyLab, mechanical, electrical, and hydraulic testing
* Lean/5S, test stand fabrication, and troubleshooting complex issues

**Education:**

* Associate's degree in Applied Science, Electronics Engineering (2011)
* Associate's degree in Applied Science, Munitions Systems Technology (2007)",0.3526,0.6740,0.4630,0.1681,0.3222,0.2210
10062724.pdf,7.1,7.44,4.13,14.54,11.23,"Highly skilled and compassionate Licensed Clinical Social Worker (LCSW) with over 20 years of experience in behavioral health care, including telephonic crisis intervention, individual, couple, and family therapy, clinical supervision, quality review and process improvement, marketing, and workflow planning. Skilled in computer programs such as Epic, Word, and Excel. Known for my strength-based management style, rapport building, and commitment to quality care, cost containment, and personal growth.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Professional Overview:**
Seasoned Licensed Clinical Social Worker with 30+ years of experience in behavioral healthcare, providing high-quality, compassionate, and effective care as a psychotherapist, educator, and manager.

**Key Qualifications:**

* Clinical acumen
* Multiculturally competent psychotherapist
* Clinical supervision
* Client-centered care
* Quality care focused
* Service oriented
* Committed to personal and professional growth

**Education:**

* Master of Social Work, University of Southern California
* Bachelor of Arts in Psychology, California State University, Northridge

**Experience:**

* Behavioral Healthcare Help Line and Psychiatric Emergency Team Supervisor (2002-Present)
	+ Clinical supervisor of 24/7/365 psychiatric crisis call center and psychiatric emergency team
	+ Developed and implemented new work processes, increasing efficiencies and productivity
	+ Trained staff and provided documentation and quality assurance support
* Licensed Clinical Social Worker/Care Coordinator (1998-2002)
	+ Conducted biopsychosocial telephonic assessments, crisis intervention, and consultation
	+ Developed documentation standards and influenced the creation of departmental electronic database
* Senior Care Network, Clinical Social Worker (1996-1998)
	+ Field-based case management for disabled adults with chronic mental illness and older adults with co-occurring disorders
	+ Conducted in-home assessments and monthly monitoring",0.5441,0.1968,0.2891,0.1642,0.0588,0.0866
10076271.pdf,4.08,5.79,3.94,9.87,8.02,"Award-winning executive and marketing professional experienced in high-volume, multi-unit, retail and business operations. Demonstrated expertise in brand development, territory management, sales operations, product launches, recruiting, and business development. Skilled in utilizing technology as a tool to improve organizational efficiency. Seeking a high-level marketing position in a professional corporate environment.

Highlights

- Brand Development
- Project Management
- Relationship Management
- Training & Development
- Sales Operations
- Merchandising

Accomplishments

- Increased annual sales to nearly $5.7 million through strategic marketing & sales campaigns.
- Launched aggressive growth plans that helped increase customer base from 0 to 15,000 customers.
- Created strategies to develop and expand existing customer sales, which resulted in a 200% sales growth in less than 12 months.
- Grew a targeted newsletter subscriber list from 0 to 6,000 members in just 12 months.
- Earned the Winner's Circle Award in 2008.

Experience

## 10/2008 to Current

Chief Executive Officer
Company Name ï¼ City , State

- Developed and launched Greenie Tots, a full-line of children's entrees, currently sold in mass retail including Whole Foods, Giant Eagle, Safeway, and independent grocery stores across the United States.
- Headed online/retail marketing campaigns to drive traffic and business to our online website and into our retail stores.
- Hired & trained all new brand ambassadors that marketed and sold the Greenie Tots brand to consumers & retail outlets.
- Managed production setup and distribution with the largest national natural products distributer UNFI.
- Developed company wide incentive performance plan which motivated staff and resulted in a 70% increase in sales.
- Rolled out integrated advertising campaign across multiple media channels.
- Increased profits by 60% in one year through restructure of business line.

## 08/2003 to 03/2013

Healthcare Management Representative 2
Company Name ï¼ City , State

- Responsible for a portfolio of billion dollar revenue","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Chief Executive Officer**

* 10+ years of experience in high-volume, multi-unit retail and business operations in pharmaceutical, financial services, and food and beverage industries
* Proven track record of increasing sales, launching successful products, and developing effective marketing campaigns
* Strong leadership and management skills, with experience in recruiting, training, and motivating staff
* Skilled in brand development, project management, relationship management, sales operations, and merchandising

**Key Accomplishments:**

* Increased annual sales to nearly $5.7 million through strategic marketing and sales campaigns
* Launched aggressive growth plans, resulting in a 200% sales growth in less than 12 months
* Developed and launched a full-line of children's entrees, sold in mass retail across the US
* Increased profits by 60% in one year through restructuring of business lines

**Education:**

* MBA and BS in Business Administration from Florida A&M University

**Professional Affiliations:**

* Member, A Better Chance (Alumni)
* Member, National Black MBA Association
* Member, Southern Florida Minority Supplier Development Council

**Skills:**

* Microsoft Office (Excel, PowerPoint, Access)
* Internet
* PC/MAC software proficiency
* Microsoft Project
* Database management
* QuickBooks",0.4124,0.6486,0.5042,0.2448,0.3859,0.2996
10089434.pdf,4.87,5.59,3.93,10.46,8.81,"Versatile Systems Administrator with superior troubleshooting skills, extensive experience in server management, systems analysis, and offering in-depth understanding of IT infrastructure areas. Active Directory, Exchange, VMWare, Office 365, Azure, and storage management expertise. Detail-oriented, independent, and focused on taking a systematic approach to solving complex problems. Demonstrated exceptional technical knowledge and skills while working with various teams to achieve shared goals and objectives.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:** Experienced Systems Administrator with expertise in network security, server management, and systems analysis. Proficient in Microsoft technologies, including Active Directory, Exchange, and Azure.

**Key Skills:**

* Active Directory, Azure, PowerShell, VBScript, Group Policy Objects
* Server management, systems analysis, and troubleshooting
* Network security, backup and disaster recovery
* Microsoft Exchange, Office 365, and VMWare experience
* Strong understanding of IT infrastructure and systems design

**Experience:**

* Information Technology Technician I (Aug 2007 - Current)
	+ Migrated and managed user accounts in Microsoft Office 365 and Exchange Online
	+ Created and managed virtual machines in Microsoft Windows Azure (IaaS)
	+ Installed and configured StorSimple and Twinstrata iSCSI cloud arrays
	+ Developed detailed specifications for Office 365 migration and Enterprise backup system
	+ Participated in project plans for Hyperion and MiamiBiz projects
* Information Services Liaison (Aug 2005 - Aug 2007)
	+ Troubleshot hardware and software problems over the phone and through remote PC administration software
	+ Installed, configured, and supported McAfee anti-virus software on desktops
	+ Developed and maintained websites on servers running Microsoft SharePoint Server and IIS

**Education:**

* Bachelor of Science in Information Technology, Florida International University (2005)

**Certifications",0.5538,0.1905,0.2835,0.2031,0.0691,0.1032
10138632.pdf,2.86,4.33,5.53,7.19,8.39,"Include the following information in the skills section:

*Computers and Electronics

*Administration and Management

*Critical Thinking

*Negotiation

*Persuasion

*Sales and Marketing

Include the following information in the experience section:

*Job Title

*Company Name

*City, State

*Date

*Bulleted list of job duties and responsibilities

Include the following information in the education section:

*Type of degree or certificate earned

*School Name

*City, State

*Year

Include the following information in the additional information section:

*Volunteer Activities

*Community Service, etc.

Include the following information in the interests section:

*Music Production, Graphic Art and Design, and Fitness Training","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Sales Manager**

* 10+ years of experience in sales management, with a strong track record of achieving sales goals and developing sales teams.
* Proven skills in negotiation, persuasion, and sales and marketing.
* Experience in planning and directing sales and service operations, including staff management, training, and performance evaluations.
* Strong organizational and prioritization abilities, with a focus on meeting customer needs and resolving customer complaints.

**Previous Experience**

* Emergency Road Service Technician (2007-2010): Demonstrated ability to work independently and troubleshoot issues with vehicles and equipment.
* Wholesale Food Supplier (2005-2007): Developed skills in sales, customer service, and inventory management.

**Education**

* High School Diploma, General Pennsauken High School (2012)

**Additional Information**

* Volunteer experience at Seeds of Hope, serving food and beverages in lunchrooms.
* Community service experience.

Overall, this candidate has a strong background in sales and management, with a focus on customer service and team leadership.",0.3333,0.1975,0.2480,0.0652,0.0385,0.0484
10247517.pdf,4.12,4.84,8.14,8.96,12.26,"Professional Information Technology Manager with an extensive background in IT Management, possessing a Masters of Science degree and multiple certifications. Expertise spans Network Engineering, Helpdesk Administration, Software Licensing, Disaster Recovery, Backup/Restore Operations, Project Management, Strategic Planning/Analysis, Budgeting, TeamBuilding/Training, Vendor Relations, Quality Assurance, Troubleshooting, and Problem Solving. Demonstrated success in leading a team, managing projects, and driving cost savings.

Experience

* IT Manager, Company Name (04/2013 to Current)
* Network Analyst, Company Name (08/1987 to 06/2012)

Key Skills

* Microsoft Office Suite, AutoCAD, SolidWorks, SAP r3, Operating Systems: Microsoft SQL, Microsoft Exchange, SCCM, DOS 6.22, Windows 3.1-Windows 10, Windows NT 3.5 Server, Windows Server 2012, OSX 10.2-10.11, IOS
* Hardware and WLAN: Nortel, Mitel, Shortel, Cisco, Meraki, Apple AirPort, Palo Alto-Firewall, Sonicwall Firewall
* Peripherals: Barracuda Web Filter, Barracuda Message Archiver, Riverbed-WAN Accelerator, Dell ISCSI SAN Installation and Configuration: Dell PowerVault, Adtran Routers, Cisco Routers, Catalyst Switches, HP Procurve Switches, ICC Patch Panels, Cross Connects, Cat3-6A (Phone and Data)

Education

* MS, Leadership, Walden University (2015)
* MS, Information Systems Management, Walden University (2013)
* BS, Information Systems Management, Mechanical Engineering, Walden University

Certifications

* MCP
* CompTIA Network+
* CompTIA A+

---

Professional Summary

An accomplished Information Technology Manager with 27+ years of experience in IT Management. Proven ability to drive efficiency, cost savings, and performance through leadership, project management, and","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Information Technology Manager**

* 8+ years of experience in IT management, with a Master's degree in Leadership and Information Systems Management
* Proven track record of planning, implementing, and evaluating complex IT initiatives, with expertise in network engineering, helpdesk administration, software licensing, disaster recovery, and project management
* Strong leadership and communication skills, with experience in team building, training, and vendor relations
* Proficient in a range of technologies, including Microsoft, Cisco, Nortel, and Apple products

**Key Achievements:**

* Improved LAN performance by 1,000% in a previous role
* Doubled WAN bandwidth and propelled LAN and WLAN performance to 100% or higher
* Developed an automated script for retrieving data from an outside server, resulting in increased efficiency and cost savings
* Implemented a thin client solution for 90 plant manufacturing cells, reducing support requests by 75% and equipment costs by 50%

**Certifications:**

* MCP
* CompTIA Network+
* CompTIA A+

This summary highlights the candidate's extensive experience in IT management, their technical skills, and their achievements in improving network performance, efficiency, and cost savings.",0.3644,0.4530,0.4039,0.1384,0.1722,0.1535
10251432.pdf,4.2,4.93,3.85,9.13,8.05,"Highly efficient and organized administrative professional with 15 years of experience. Skilled in Microsoft Office Suite, Adobe Acrobat, and various project management software. Proven ability to prioritize multiple deadlines, work independently, and collaborate with others.

## Skills

- Administrative support
- Microsoft Office Suite
- Adobe Acrobat
- Project management software
- Prioritization
- Deadlines
- Collaboration

## Experience

## Administrative Assistant

January 2015 to January 2018 XYZ Company, City, State

- Provided administrative support to the project management team, including scheduling meetings, managing project documents, and coordinating travel arrangements.
- Collaborated with team members to ensure efficient project execution and timely completion.
- Managed incoming and outgoing correspondence, ensuring accurate and timely responses.
- Assisted with financial reporting, including invoicing, expense tracking, and budget management.

## Administrative Assistant

January 2012 to January 2015 ABC Company, City, State

- Provided administrative support to the sales team, including scheduling appointments, preparing sales materials, and coordinating travel arrangements.
- Collaborated with team members to ensure effective communication and timely response to client inquiries.
- Managed incoming and outgoing correspondence, ensuring accurate and timely responses.
- Assisted with financial reporting, including invoicing, expense tracking, and budget management.

## Education and Training

- Bachelor of Science in Business Administration, XYZ University, City, State
- Certified Administrative Professional (CAP), International Association of Administrative Professionals

## Skills

- Administrative support
- Microsoft Office Suite
- Project management
- Sales support
- Travel arrangements
- Financial reporting
- Communication
- Collaboration
- Time management
- Customer service
- Budget management

## Certifications

- Certified Administrative Professional (CAP), International Association of Administrative Professionals

## Education and Training

- Bachelor of Science in Business Administration, XYZ University, City, State

## Skills

- Administrative support
- Microsoft Office Suite
- Project management
- Sales support
- Travel arrangements
- Financial reporting
- Communication
- Coll","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:** Experienced administrative professional with 15 years of experience in corporate administration, customer service, and bookkeeping. Skilled in Microsoft Office, Adobe Acrobat, and project management software.

**Key Experience:**

* Corporate Administrator (2009-2017): Managed multiple projects simultaneously, including light accounting, bookkeeping, travel arrangements, and meeting coordination. Coordinated with clients, contractors, and internal teams to ensure project success.
* Customer Service Representative (2006-2009): Provided full account servicing for a Sears Credit Cards Portfolio, including billing and payment inquiries, disputes, and account maintenance.
* Administrative Assistant/Bookkeeper (2000-2003): Managed monthly billing reports, reconciled billing, and prepared deposits. Assisted in planning company functions and provided support to multiple branches.

**Key Skills:**

* Organized and detail-oriented
* Proficient in Microsoft Office, Adobe Acrobat, and project management software
* Excellent communication and customer service skills
* Ability to prioritize multiple deadlines and work independently
* Strong attention to detail and ability to meet quality and sales goals",0.3450,0.5528,0.4248,0.1089,0.1750,0.1343
10265057.pdf,3.31,3.76,6.11,7.07,9.42,"Experienced RF Systems Engineer with multidisciplinary background in RF hardware designs, manufacturing operations, and data analysis. Proficient in developing hardware's DFM procedures, performing EVT, DVT, and PVT verifications, managing multiple projects simultaneously, and driving quality requirement for post-ramp qualification. Strong team leader with innovation and sharp attention to details.

Effective System Data Analyst with prioritization and big data extraction skills from SQL databases. Proficient in data manipulation language SQL commands, statistical tools including Excel, SAS, and SPSS, creating complex charts, temporary databases, and developing pivot tables for publication. Adept at designing and customizing reports, providing documentation based on audit and report criteria, and serving as a resource for non-routine inquiries.

Versatile Electrical/Validation Engineer with expertise in developing and maintaining data requirements for PCBA EVT, DVT, and PVT assembly for touch-pads. Proficient in designing and implementing automated tests, monitoring manufacturer IC packaging test yields, and performing debug and troubleshooting of products. Skilled in developing in-depth reliability testing procedures, contributing to manufacturing diagnostic reviews, and supporting internal and external customers related to lab data collection and verification of application issues.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Working RF Systems Engineer**

* 8+ years of experience in RF hardware design, manufacturing operations, and data analysis
* Strong background in RF/Microwave software (Ansoft Designer, AWR Microwave Office), test instruments (Spectrum analyzer, Vector Network/Signal Analyzer, Logic Analyzer), and programming languages (C/C++, Python, Java, Matlab, LabView)
* Proven track record in developing DFM procedures, checklists, and requirements for subcontractors; leading technical projects from design to validation; and managing multiple projects simultaneously
* Experience in satellite communication architecture designs, RF hardware unit DFM procedures, and supplier technical design specifications and testing requirements
* Strong analytical and problem-solving skills, with ability to optimize RF system performance and drive quality requirements

**Education**

* Master's in Electrical and Computer Engineering, Purdue University (2013)
* Bachelor's in Electrical and Computer Engineering, Purdue University (2011)

**Key Skills**

* RF/Microwave design and testing
* Programming languages (C/C++, Python, Java, Matlab, LabView)
* Data analysis and mining
* Circuit design and simulation
* PCB design and manufacturing
* Quality assurance and validation
* Team leadership and project management",0.4076,0.4213,0.4144,0.1202,0.1243,0.1222
10332998.pdf,4.23,4.84,3.91,9.07,8.14,"Astute attorney with strong ability to develop and implement effective litigation case strategies, resolve complex cases in clients' favor, and write persuasive motions. Proven ability to thrive in dynamic environments, conduct legal research, draft pleadings, and negotiate settlements. Strong communicator, writer, and team player with experience in civil litigation, regulatory compliance, and risk management.

Include a list of skills that are directly relevant to the job you are applying for. This list can include both hard skills (e.g., legal document preparation, strong researcher) and soft skills (e.g., organization, leadership, team player).

* Court Procedures
* Legal Document Preparation
* Strong Researcher
* Strong Negotiator
* Organizational
* Communication
* Leadership
* Team Player
* Litigation Management
* Due Diligence
* Deposition
* Motion Practice
* Regulatory Compliance
* Risk Management
* Strong Writer
* Civil Litigation
* Quality Assurance
* Professional and Personable
* Detail-Oriented
* Analytical

Highlight any relevant work history, including job titles, company names, and dates of employment. Include a brief description of each job and the responsibilities, skills, and achievements gained in each role.

* Consultant (06/2014 to Current) - Company Name - City, State: Serve as consultant attorney to major Virgin Islands' law firm that represents individuals, classes, and organizations in plaintiff-side civil litigation. Conduct legal research, draft pleadings, manage litigation, and negotiate settlements.
* Special Assistant Corporation Counsel (03/2011 to 05/2014) - Company Name - City, State: Served as Special Assistant Corporation Counsel in the Special Federal Litigation Division, a specialized division created to defend the City and its officials in civil rights cases brought exclusively in federal courts. Managed heavy caseload, evaluated cases, and negotiated settlements.
* Attorney (01/2010 to 01/2011) - Company Name - City, State: Served as principal attorney in practice primarily focused on family and immigration laws. Counseled clients, conducted legal research, drafted pleadings, and represented clients","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**

Experienced attorney with expertise in litigation, negotiation, and research. Proven track record of resolving complex cases in clients' favor. Strong skills in court procedures, legal document preparation, research, negotiation, and communication.

**Key Experience:**

* Consultant Attorney (2014-present): Represented clients in plaintiff-side civil litigation, conducting legal research, drafting pleadings, and negotiating settlements.
* Special Assistant Corporation Counsel (2011-2014): Defended the City of New York in civil rights cases, conducting legal research, drafting pleadings, and negotiating settlements.
* Attorney (2010-2011): Practiced family and immigration law, counseling clients on compliance with regulations and conducting legal investigations.
* Consultant Attorney (2005-2009): Assisted law firms in civil litigation, white collar criminal litigation, and SEC and DOJ investigations, analyzing financial documentation and reviewing transactions for fraud.

**Education:**

* J.D., Fordham University School of Law (2005)
* Bachelor of Arts, Criminal Justice, John Jay College of Criminal Justice (2000)

**Skills:**

* Court procedures
* Legal document preparation
* Strong researcher
* Strong negotiator
* Organization
* Communication
* Leadership
* Team player
* Litigation management
* Due diligence
* Deposition
* Motion practice
* Regulatory compliance
* Risk management
* Strong writer",0.4460,0.6919,0.5424,0.2587,0.4022,0.3149
10464113.pdf,4.26,4.93,7.55,9.2,11.81,"Results-driven Sales Executive with 15+ years of experience in B2B and B2C sales, excelling in new business development and customer relationship management. Consistently exceeded sales targets and increased revenue by 500%. Exceptional communication and interpersonal skills, with a proven ability to build trust and establish long-lasting client relationships. Proactive, self-motivated, and adaptable, with a strong focus on customer satisfaction and retention.

## Experience

**Senior Sales Executive | Company Name | City, State | Feb 2001 - Oct 2012**

- Achieved a significant increase in placements from $100,000 to $2.5 million per month, growing the company's collector workforce from 5 to over 80.
- Developed and executed sales strategies, resulting in a 500% revenue growth and profit gains.
- Consistently exceeded sales targets, maintaining high levels of client satisfaction and retention.
- Trained new reps in new territories and supported their growth.

**Regional Account Manager | Company Name | City, State | Oct 2012 - Mar 2013**

- Successfully launched a new territory in Ohio and Kentucky, selling toxicology laboratory services to physician practices.
- Hired, trained, and supported staff to work in client practices.
- Achieved a strong market presence and established long-lasting client relationships.

**District Sales Manager | Company Name | City, State | Feb 1998 - Feb 2001**

- Sold collection services, credit reporting, billing services, and pre-collect and insurance cure work to physicians and medical facilities.
- Achieved top-three sales rankings, exceeding sales targets and maintaining strong client relationships.
- Provided education and training seminars to sales teams, including Wilson Learning System Sales Training, Dale Carnegie, and Sandler Sales Training.

**Account Manager | Company Name | City, State | Apr 2012 - Feb 2015**

- Assisted a new start-up billing company in acquiring clients in Southern Ohio and Kentucky.
- Sold Allscripts software, billing and credentialing services, and provided ongoing support to clients.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Sales Executive**

* Proven track record of growing client lists and maintaining existing clients, resulting in consistent gains in growth, profits, and customer satisfaction and retention.
* Expertise in customer relationship management, troubleshooting, and problem-solving.
* Strong communication and interpersonal skills, with a talent for establishing rapport, cultivating relationships, and building loyalty.
* Experience selling to businesses and consumers in various industries, with a focus on medical and commercial sectors.
* Proven ability to prospect, present, and close sales, as well as retain clients and provide superior customer service.

**Key Accomplishments:**

* Grew placements with FFCC Inc. from under $100,000 to over $2.5 million per month.
* Started a new company for Silent Owners and grew it to be sold multiple times, with many initial clients still in business.
* Ranked #3 Representative out of 65 in the United States with I C System Inc.
* Promoted to Outside Sales Manager with Ohio Truck Body within two years.
* Acquired five of the largest clients for ChangeMed within a few months of accepting the position.

**Skills:**

* Inside and outside sales
* Customer service
* CRM software (Salesforce, Act, Goldmine)
* Allscripts software
* Practice Fusion software
* Appointment setting
* Cold calling
* Presenting
* Closing and client retention
* Database management
* Direct mail",0.3659,0.4953,0.4208,0.1014,0.1374,0.1167
